anfitrion;distrito;plazas;precio
5084073;Arganzuela;4;$73.00
5114074;Centro;3;$72.00
850654;Centro;8;$37.00
1738341;Centro;8;$105.00
5132742;Centro;2;$48.00
4722486;Centro;4;$95.00
2783896;Latina;2;$26.00
1425071;Chamberí;5;$82.00
5198285;Latina;4;$70.00
5211661;Centro;4;$59.00
2483139;Centro;2;$79.00
1647109;Chamberí;4;$90.00
5302455;Retiro;16;$350.00
6363695;Centro;2;$40.00
5347216;Centro;1;$25.00
5360317;Chamberí;2;$35.00
534128;Centro;6;$185.00
534128;Chamberí;4;$60.00
534128;Chamberí;8;$205.00
5386601;Puente de Vallecas;2;$27.00
5389129;Tetuán;4;$60.00
4839698;Centro;2;$65.00
1714541;Ciudad Lineal;6;$55.00
2561320;Centro;5;$90.00
3585435;Ciudad Lineal;4;$198.00
5343904;Centro;2;$44.00
5516172;Fuencarral - El Pardo;1;$18.00
1130651;Centro;3;$70.00
5521269;Centro;4;$85.00
5528551;Centro;2;$69.00
5542111;Centro;4;$74.00
5577429;Arganzuela;2;$33.00
4361819;Centro;1;$37.00
5606144;Hortaleza;1;$30.00
5618733;Chamberí;1;$30.00
5649948;Chamberí;1;$30.00
5712665;Centro;3;$80.00
5719307;Centro;4;$65.00
5722524;Barajas;2;$42.00
4967875;Retiro;5;$94.00
5751753;Moncloa - Aravaca;16;$85.00
5759904;Centro;4;$46.00
2913511;Usera;2;$30.00
5785483;Salamanca;2;$30.00
5795235;Centro;4;$70.00
5798033;Centro;5;$80.00
5801580;Chamberí;1;$24.00
5814460;Chamberí;2;$30.00
571765;Centro;4;$70.00
5824815;Centro;8;$101.00
2214378;Centro;2;$34.00
5735364;Chamberí;1;$22.00
5542111;Centro;4;$75.00
5542111;Centro;4;$65.00
5869715;Centro;3;$45.00
5876034;Tetuán;4;$90.00
5896428;Centro;2;$75.00
5918751;Centro;5;$150.00
5918969;Centro;2;$148.00
2991925;Centro;2;$33.00
5935817;Chamberí;4;$95.00
5785483;Salamanca;1;$30.00
5950981;Centro;2;$76.00
2228918;Centro;3;$69.00
5941001;Centro;2;$50.00
3612732;Centro;1;$55.00
2044655;Centro;4;$130.00
2044655;Centro;4;$99.00
2044655;Centro;8;$230.00
5785483;Salamanca;2;$30.00
5997842;Arganzuela;2;$30.00
153391;Centro;2;$76.00
153391;Centro;2;$74.00
153391;Centro;4;$75.00
993166;Centro;2;$50.00
2847013;Centro;4;$85.00
6053704;Ciudad Lineal;2;$25.00
6072314;Centro;6;$45.00
6075016;Centro;3;$58.00
6104199;Puente de Vallecas;1;$24.00
6112385;Centro;2;$75.00
6119221;Centro;4;$70.00
6152491;Centro;2;$35.00
124972;Moncloa - Aravaca;2;$50.00
6191568;Salamanca;1;$17.00
6191686;Centro;2;$40.00
5870563;Centro;2;$85.00
1450378;Chamberí;1;$15.00
1450378;Chamberí;1;$26.00
641820;Centro;4;$510.00
6241052;Chamberí;4;$79.00
6270912;Centro;4;$85.00
6284655;Centro;3;$50.00
6053704;Ciudad Lineal;4;$80.00
6282893;Salamanca;4;$118.00
6319722;Chamberí;1;$44.00
6284734;Centro;2;$60.00
4599639;Centro;4;$150.00
4599639;Centro;3;$62.00
547389;Chamberí;1;$30.00
1706029;Chamberí;2;$32.00
6369472;Chamberí;2;$53.00
1703448;Villaverde;4;$69.00
6408401;Chamartin;1;$29.00
927343;Centro;4;$72.00
6420689;Latina;2;$22.00
6412103;Centro;3;$57.00
6427023;Villaverde;1;$78.00
6436336;Centro;2;$40.00
6443996;Centro;2;$45.00
6466920;Retiro;6;$91.00
3983613;Centro;4;$140.00
6483080;Centro;2;$80.00
6490189;Carabanchel;2;$21.00
2864064;Centro;4;$51.00
5795235;Centro;4;$70.00
4967875;Retiro;5;$94.00
4790263;Arganzuela;2;$35.00
3331390;Arganzuela;4;$84.00
4440463;Puente de Vallecas;2;$16.00
6636854;Centro;4;$90.00
6566447;Centro;6;$75.00
6711092;Centro;2;$200.00
6598518;Centro;3;$77.00
5542111;Centro;5;$60.00
6749419;Centro;4;$72.00
6754321;Chamberí;4;$150.00
6755278;Retiro;2;$25.00
596469;Centro;4;$90.00
4599639;Centro;3;$1,000.00
6566447;Centro;4;$75.00
6818751;Centro;2;$32.00
6832983;Arganzuela;2;$80.00
6730063;Arganzuela;4;$65.00
6774354;Arganzuela;8;$75.00
2067969;Centro;4;$85.00
6844474;Centro;2;$35.00
6861593;Chamberí;1;$55.00
4304796;Arganzuela;2;$36.00
4304796;Arganzuela;3;$38.00
4839888;Centro;4;$79.00
6282893;Centro;6;$153.00
6566447;Centro;6;$75.00
4839888;Centro;2;$75.00
6928584;Centro;4;$100.00
2833018;Chamberí;5;$85.00
4003806;Ciudad Lineal;3;$80.00
6944433;Centro;2;$28.00
6871745;Centro;2;$65.00
6072314;Centro;2;$50.00
142989;Vicálvaro;4;$52.00
7049661;Centro;3;$48.00
4190343;Centro;5;$65.00
7062138;Arganzuela;4;$52.00
5542111;Centro;5;$72.00
2991925;Centro;2;$29.00
6774514;Carabanchel;5;$51.00
7117225;Hortaleza;2;$26.00
7122460;Salamanca;6;$350.00
7149341;Centro;2;$30.00
7153063;Centro;4;$65.00
7170175;Centro;3;$59.00
7201628;Centro;2;$54.00
7218465;Centro;2;$45.00
4361819;Centro;4;$79.00
1470394;Centro;1;$28.00
7223907;Centro;3;$70.00
5919800;Chamberí;2;$75.00
7033920;Centro;2;$59.00
7249376;Chamartin;2;$75.00
2833018;Chamberí;1;$35.00
3105381;Tetuán;1;$25.00
7302534;Centro;1;$45.00
7306349;Centro;4;$69.00
852616;Centro;4;$55.00
7394119;Centro;2;$75.00
7375454;Centro;6;$85.00
7395294;Centro;2;$65.00
4147804;Centro;2;$68.00
7420783;Centro;2;$60.00
7489861;Centro;2;$41.00
2741468;Centro;3;$110.00
7552386;Centro;1;$60.00
7595958;Centro;3;$79.00
1714541;Ciudad Lineal;6;$55.00
5633658;Centro;6;$65.00
2564339;Centro;4;$75.00
7448200;Chamberí;7;$120.00
2564339;Centro;4;$90.00
4361819;Centro;1;$37.00
7751680;Centro;3;$69.00
4281126;Retiro;2;$30.00
5500409;Centro;5;$85.00
7820252;Centro;1;$30.00
7823688;Centro;8;$250.00
6019735;Centro;2;$60.00
7828783;Fuencarral - El Pardo;2;$59.00
7823688;Centro;8;$270.00
7850049;Centro;2;$55.00
7652350;Salamanca;6;$160.00
7943769;San Blas - Canillejas;2;$60.00
6191568;Salamanca;1;$13.00
4599639;Centro;4;$130.00
4599639;Centro;4;$1,000.00
4839888;Centro;3;$82.00
8099011;Chamartin;1;$35.00
8125749;Centro;4;$150.00
8130428;Centro;2;$49.00
8158807;Villa de Vallecas;2;$35.00
7218465;Centro;2;$48.00
8192639;Centro;3;$36.00
4229531;Centro;1;$40.00
8231348;Latina;2;$35.00
8345477;Salamanca;4;$91.00
8385568;Centro;1;$22.00
6816328;Centro;4;$80.00
3275902;Moncloa - Aravaca;2;$110.00
8449261;Latina;1;$25.00
4043145;Arganzuela;1;$25.00
1706029;Chamberí;4;$100.00
3908006;Villa de Vallecas;2;$43.00
8508444;San Blas - Canillejas;2;$70.00
1666293;Centro;2;$65.00
7874554;Salamanca;2;$80.00
8532170;Centro;6;$135.00
2960080;Centro;4;$45.00
5790036;Centro;2;$400.00
1973600;Centro;4;$80.00
3514685;Retiro;2;$30.00
8578326;Centro;3;$50.00
8577935;Chamberí;7;$90.00
6271519;Centro;4;$121.00
3519148;Carabanchel;3;$60.00
3540591;Centro;2;$64.00
8607668;Centro;3;$90.00
2564339;Centro;4;$70.00
2564339;Centro;4;$90.00
8631882;Arganzuela;6;$100.00
8647044;Centro;4;$110.00
901218;Centro;5;$48.00
8664077;Moncloa - Aravaca;2;$80.00
8647044;Centro;5;$120.00
4424170;Ciudad Lineal;3;$45.00
901218;Centro;4;$48.00
8705535;Centro;4;$70.00
8719029;Ciudad Lineal;2;$55.00
8724268;Arganzuela;3;$80.00
1766434;Chamartin;1;$23.00
3606346;Centro;3;$73.00
8242728;Retiro;2;$45.00
8789737;Centro;2;$90.00
8789737;Centro;4;$110.00
8807899;Centro;3;$55.00
8814428;Usera;1;$20.00
8608997;Centro;2;$36.00
8624564;Ciudad Lineal;2;$20.00
8879010;Centro;3;$56.00
8879142;Tetuán;2;$33.00
2864064;Centro;4;$62.00
8901422;San Blas - Canillejas;6;$85.00
1091014;Centro;4;$95.00
8933508;Centro;3;$80.00
5542111;Centro;4;$67.00
8647044;Centro;4;$89.00
8983711;Centro;2;$70.00
8986611;Centro;4;$69.00
8996173;Centro;7;$70.00
1216993;Salamanca;3;$85.00
8705535;Centro;4;$68.00
2111994;Tetuán;1;$30.00
9042464;Centro;8;$315.00
901218;Centro;2;$42.00
4023064;Centro;2;$72.00
4231218;Centro;5;$79.00
4424222;Moratalaz;8;$110.00
9137401;Centro;2;$85.00
9145004;Centro;2;$71.00
5537924;Centro;5;$70.00
9172209;Centro;2;$45.00
9210324;Centro;2;$50.00
9222331;Chamberí;2;$30.00
3488397;Centro;3;$66.00
4975799;Centro;4;$81.00
3150192;Carabanchel;2;$59.00
9243583;Arganzuela;6;$89.00
9244612;Centro;2;$67.00
534128;Centro;6;$185.00
534128;Centro;6;$185.00
534128;Centro;6;$185.00
4292037;Centro;2;$55.00
9277975;Centro;3;$52.00
3661209;Centro;2;$75.00
9290112;Centro;4;$55.00
7129474;Centro;2;$70.00
1713524;Centro;2;$120.00
5883486;Centro;2;$75.00
1470394;Centro;1;$20.00
4023064;Centro;2;$72.00
4231218;Centro;6;$82.00
901218;Centro;4;$42.00
1714541;Ciudad Lineal;6;$55.00
8622607;Moncloa - Aravaca;1;$25.00
6915283;Centro;2;$80.00
596469;Salamanca;2;$90.00
2444553;Centro;4;$55.00
5542111;Centro;8;$120.00
9525646;Arganzuela;2;$50.00
9551147;Centro;4;$49.00
3275902;Centro;2;$85.00
9570589;Salamanca;4;$90.00
5542111;Centro;9;$135.00
9597850;Centro;2;$45.00
9643400;Centro;3;$80.00
9644407;Centro;1;$20.00
2519411;Retiro;2;$56.00
8108510;Retiro;2;$39.00
1364024;Latina;1;$31.00
9696587;Centro;6;$139.00
9699624;Centro;2;$35.00
9548677;Centro;2;$76.00
534128;Centro;4;$130.00
1172225;Chamberí;2;$100.00
534128;Chamberí;6;$185.00
534128;Chamberí;6;$185.00
534128;Chamberí;8;$194.00
534128;Chamberí;8;$194.00
9738650;Centro;4;$100.00
901218;Centro;3;$38.00
8276432;Centro;3;$58.00
9790541;Centro;4;$85.00
9800520;Chamartin;1;$25.00
8705535;Centro;4;$55.00
5675916;Arganzuela;2;$18.00
8724478;Chamberí;2;$47.00
9872400;Centro;2;$68.00
9531372;Moratalaz;2;$68.00
1985408;Centro;5;$204.00
82175;Centro;5;$60.00
9940609;Centro;2;$44.00
4068912;Centro;4;$38.00
4068912;Centro;4;$42.00
9278712;Centro;4;$69.00
5149901;Centro;2;$66.00
9594535;Retiro;3;$40.00
1784424;Centro;6;$105.00
2991670;Salamanca;1;$19.00
498646;Puente de Vallecas;1;$26.00
4068912;Centro;5;$42.00
4068912;Centro;4;$39.00
10189139;Centro;1;$45.00
7489861;Centro;4;$75.00
1732442;Centro;11;$75.00
9250119;Centro;3;$85.00
10215430;Centro;2;$40.00
4190343;Centro;6;$110.00
5542111;Centro;6;$76.00
4618994;Centro;2;$49.00
353738;Centro;2;$63.00
3698116;Carabanchel;1;$21.00
10402340;Centro;4;$75.00
2444553;Centro;4;$85.00
10516522;Centro;3;$75.00
6979632;Ciudad Lineal;4;$80.00
2750053;Tetuán;3;$68.00
10544543;Chamberí;2;$65.00
10550853;Centro;4;$59.00
762655;Centro;2;$75.00
3048290;Centro;4;$85.00
8447678;Centro;4;$90.00
3048290;Centro;4;$85.00
6072314;Centro;6;$50.00
10651006;Centro;4;$68.00
4839888;Retiro;8;$481.00
10654623;Centro;2;$35.00
10668178;Arganzuela;4;$80.00
4582755;Centro;2;$34.00
6564220;Centro;2;$65.00
4083688;Centro;4;$59.00
4083688;Centro;4;$59.00
4083688;Centro;3;$55.00
3048290;Centro;8;$95.00
10651006;Centro;2;$59.00
10651006;Centro;2;$55.00
10651006;Centro;10;$99.00
3048290;Centro;7;$95.00
7649063;Centro;2;$57.00
2425848;Centro;6;$199.00
1091014;Centro;6;$375.00
353738;Chamberí;2;$61.00
927713;Centro;4;$65.00
4023064;Centro;2;$61.00
10863262;Carabanchel;1;$23.00
8879142;Tetuán;2;$33.00
5542111;Centro;5;$73.00
2541550;Centro;9;$125.00
10916450;Centro;6;$90.00
10940437;Centro;10;$20.00
10942518;Usera;2;$28.00
10940437;Centro;6;$22.00
10940437;Centro;8;$22.00
10940437;Centro;8;$21.00
10942518;Usera;3;$28.00
10974652;Centro;5;$200.00
4599639;Retiro;6;$110.00
2184051;Centro;2;$50.00
11116174;Centro;4;$60.00
427419;Tetuán;3;$65.00
11146984;Hortaleza;5;$100.00
2662680;Centro;4;$135.00
11172003;Chamberí;1;$45.00
11152132;Centro;2;$70.00
11179787;Carabanchel;6;$31.00
11262545;Arganzuela;1;$45.00
11342272;Centro;2;$30.00
11340614;Chamartin;1;$40.00
11407661;Centro;2;$49.00
1425071;Moncloa - Aravaca;3;$80.00
11479457;Centro;4;$120.00
11385250;Centro;2;$35.00
5002446;Centro;2;$79.00
7739367;Centro;4;$65.00
7033920;Chamartin;4;$95.00
2541550;Centro;4;$67.00
11650026;Centro;4;$70.00
5500409;Centro;2;$65.00
1843216;Centro;3;$69.00
11667662;Chamartin;3;$49.00
762655;Centro;2;$75.00
8584829;Chamartin;2;$75.00
3447304;Centro;2;$40.00
8515277;Retiro;6;$137.00
10037966;Arganzuela;3;$58.00
4615520;Centro;2;$78.00
2561320;Centro;6;$140.00
7331716;Centro;3;$60.00
11964814;Ciudad Lineal;1;$29.00
9805902;Centro;4;$200.00
2933277;Centro;3;$82.00
12027564;Centro;2;$70.00
12028707;Centro;5;$120.00
12028707;Centro;6;$120.00
12028707;Centro;10;$300.00
2536524;San Blas - Canillejas;2;$25.00
12077356;Centro;4;$50.00
12105600;Centro;5;$55.00
757672;Centro;4;$120.00
4967875;Retiro;4;$94.00
12183135;Centro;6;$100.00
5031865;Latina;5;$70.00
12252321;Moncloa - Aravaca;1;$27.00
4190343;Centro;6;$75.00
8705535;Centro;4;$62.00
12481365;Centro;6;$85.00
378073;Centro;6;$85.00
4975799;Centro;4;$85.00
5542111;Centro;4;$65.00
12641432;Centro;4;$75.00
12698367;Moncloa - Aravaca;3;$78.00
7038627;Centro;2;$64.00
12202578;Arganzuela;2;$30.00
11824804;Centro;4;$85.00
5514970;Chamartin;5;$175.00
10569881;Centro;4;$110.00
12799099;Centro;7;$84.00
12791313;Centro;4;$100.00
12691164;Centro;2;$45.00
12904592;Salamanca;3;$90.00
12904592;Salamanca;3;$90.00
1890653;Centro;2;$58.00
605612;Centro;1;$34.00
13097473;Centro;3;$49.00
4677030;Moncloa - Aravaca;4;$90.00
845407;Centro;2;$400.00
6128492;Salamanca;2;$50.00
4008643;Chamartin;7;$125.00
13250761;Chamberí;3;$200.00
13253937;Retiro;6;$100.00
13340216;Centro;5;$70.00
845407;Centro;2;$110.00
9757922;Centro;4;$80.00
13440901;Centro;2;$100.00
13474925;Centro;3;$50.00
2864064;Centro;4;$61.00
13492658;Centro;2;$24.00
13513088;Centro;5;$80.00
13523635;Tetuán;2;$100.00
13537715;Latina;4;$70.00
13569734;Centro;3;$109.00
13569734;Centro;2;$109.00
13590063;Centro;2;$30.00
1156753;Chamberí;2;$65.00
4294898;Centro;2;$46.00
13686767;Chamberí;4;$60.00
13689103;Chamberí;4;$65.00
3447304;Centro;2;$40.00
13732037;Centro;4;$75.00
13742566;Centro;4;$60.00
13742566;Centro;3;$67.00
13751801;Centro;1;$21.00
1650712;Salamanca;4;$165.00
13841663;Centro;3;$85.00
1843216;Centro;4;$69.00
5542111;Centro;5;$67.00
